rate_id,contractor_id_snap,contractor_name_snap,project_id_snap,project_name_snap,labor_code,labor_description,unit,unit_rate,effective_date,expiration_date,active,supersedes_rate_id,status,notes
RATE-000033,CON-0001,River City Communications,,,BM60(1)(2) T,"Labor to place one (1) vacant 2"" conduits via the open trench method. Min depth to be 3 "" to 42"".",FT,7.05,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000034,CON-0001,River City Communications,,,BM60(1)(4) T,"Labor to place one (1) vacant 4"" conduits via the open trench method. Min depth to be 3 "" to 42"".",FT,7.5,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000035,CON-0001,River City Communications,,,BM60(2)(1.25) T,"Labor to place two (2) vacant 1.25"" conduits via the open trench method. Min depth to be 3 "" to 42"".",FT,7.7,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000036,CON-0001,River City Communications,,,BM60(2)(2) T,"Labor to place two (2) vacant 2"" conduits via the open trench method. Min depth to be 3 "" to 42"".",FT,8.0500000000000007,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000037,CON-0001,River City Communications,,,BM60(2)(4) T,"Labor to place two (2) vacant 4"" conduits via the open trench method. Min depth to be 3 "" to 42"".",FT,11.8,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000038,CON-0001,River City Communications,,,BM60(3)(1.25) T,"Labor to place three (3) vacant 1.25"" conduits via the open trench method. Min depth to be 3 "" to 42"".",FT,9.4,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000039,CON-0001,River City Communications,,,BM60(3)(2) T,"Labor to place three (3) vacant 2"" conduits via the open trench method. Min depth to be 3 "" to 42"".",FT,9.15,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000040,CON-0001,River City Communications,,,BM60(3)(4) T,"Labor to place three (3) vacant 4"" conduits via the open trench method. Min depth to be 3 "" to 42"".",FT,15.95,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000041,CON-0001,River City Communications,,,BM60(1)(1.25) TD,"Labor to place one (1) vacant 1.25"" conduit dual (joint trench) with another conduit or cable via the open trench method.",FT,3,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000042,CON-0001,River City Communications,,,BM60(1)(2) TD,"Labor to place one (1) vacant 2"" conduit dual(joint trench) with another conduit or cable via the open trench method.",FT,3,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
